Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
KEN,1988-01-01,1988-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1988,1988,US$,51.8637442000,E
KEN,1989-01-01,1989-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1989,1989,US$,48.4946304200,E
KEN,1990-01-01,1990-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1990,1990,US$,47.6070293600,E
KEN,1991-01-01,1991-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1991,1991,US$,44.2518634700,E
KEN,1992-01-01,1992-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1992,1992,US$,44.0938321600,E
KEN,1993-01-01,1993-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1993,1993,US$,30.5037101400,E
KEN,1994-01-01,1994-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1994,1994,US$,37.8215212400,E
KEN,1995-01-01,1995-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1995,1995,US$,46.6585013100,E
KEN,1996-01-01,1996-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1996,1996,US$,45.8443869600,E
KEN,1997-01-01,1997-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1997,1997,US$,49.7733694700,E
KEN,1998-01-01,1998-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1998,1998,US$,51.7859160500,E
KEN,1999-01-01,1999-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1999,1999,US$,46.3124800800,E
KEN,2000-01-01,2000-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2000,2000,US$,45.3821606600,E
KEN,2001-01-01,2001-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2001,2001,US$,44.7489720900,E
KEN,2002-01-01,2002-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2002,2002,US$,45.0683804700,E
KEN,2003-01-01,2003-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2003,2003,US$,49.6358138700,E
KEN,2004-01-01,2004-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2004,2004,US$,50.9986558800,E
KEN,2005-01-01,2005-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2005,2005,US$,56.0616525700,E
KEN,2006-01-01,2006-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2006,2006,US$,63.3195876800,E
KEN,2007-01-01,2007-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2007,2007,US$,73.3325200900,E
